,topic_1,topic_2,topic_3,topic_4,label
0,0.13312396078742042,0.43787774070377783,0.4201874988416753,0.008810799667126574,exon
1,0.07122953625933953,0.17708866994278372,0.7309926511134788,0.02068914268439801,exon
2,0.03253878157311002,0.34297176349692954,0.5159954787268264,0.10849397620313415,exon
3,0.20614612678159394,0.20913211442953547,0.5746865737350273,0.010035185053843227,exon
4,0.1039774911258476,0.2846701957251537,0.6028219782611491,0.008530334887849551,exon
5,0.00346060855353374,0.3875024361633261,0.5990635281979325,0.009973427085207749,exon
6,0.04728770222704457,0.5898979555453752,0.3131095019092942,0.04970484031828603,exon
7,0.046687479558928664,0.1917902496870125,0.7552521033136337,0.006270167440425111,exon
8,0.1254089214894353,0.13364129801931796,0.668759322142377,0.0721904583488697,exon
9,0.05391534201524095,0.880727728533328,0.04779963402711998,0.017557295424311007,exon
10,0.0929191499968095,0.3854157920822951,0.2631824437503534,0.25848261417054197,exon
11,0.041172759711417914,0.2659528311624261,0.5529076237938596,0.13996678533229648,exon
12,0.13619972244569944,0.442873740683241,0.3830050076961892,0.03792152917487036,exon
13,8.038624585016839e-05,0.5466906297722138,0.4365013296649922,0.016727654316943782,exon
14,0.14477269384742064,0.4219116704096132,0.37444375525617585,0.058871880486790304,exon
15,0.07720310724943982,0.22201924746039667,0.6643953253832476,0.03638231990691575,exon
16,0.17809173451281107,0.6205491997230096,0.1534723976610313,0.04788666810314789,exon
17,0.04434173096963245,0.8472331317254554,0.09778540776525214,0.01063972953966012,exon
18,0.1185184581844579,0.48501091690043935,0.37550349092059876,0.020967133994504013,exon
19,0.0942636536676632,0.4001392063763829,0.4852320259353149,0.020365114020638942,exon
20,0.8494013430766683,0.015805995110128198,0.013498436442221751,0.12129422537098161,intron
21,0.7465859866502771,0.017210355410691363,0.0891230957592242,0.14708056217980733,intron
22,0.9824462695915929,0.002749322619094136,0.014310914333409992,0.0004934934559029457,intron
23,0.9245474392578629,0.008074358402636274,0.05596624102178764,0.01141196131771321,intron
24,0.9620765966128663,0.0018306599608111018,0.03239844691072499,0.0036942965155976255,intron
25,0.9855483449604803,0.007386700921792669,0.0019476285021118897,0.005117325615615117,intron
26,0.9683297009851015,0.014586132931167655,0.01577033818274371,0.0013138279009871625,intron
27,0.9209966655389787,0.0067434346294902555,0.02159423359302496,0.05066566623850609,intron
28,0.8487961976523685,0.019387665378211738,0.11696720039102546,0.01484893657839441,intron
29,0.948784320493322,8.036044763940843e-05,0.003349786517762063,0.04778553254127655,intron
30,0.9374415063954624,0.0319842534567658,0.005177397512718267,0.025396842635053523,intron
31,0.38830079491927033,0.03156334173011442,0.020744241866767377,0.5593916214838479,intron
32,0.8252121979765239,0.011881996121041034,0.03597438013344899,0.12693142576898625,intron
33,0.9379041663039203,0.009543736017215577,0.050713721709428526,0.0018383759694355815,intron
34,0.9941647068710168,0.00014639518116407887,0.005608696934000778,8.020101381844136e-05,intron
35,0.6792599235028954,0.005332278122173954,0.012994437051468834,0.30241336132346186,intron
36,0.7074393405214535,0.013336225602016714,0.007075677421415109,0.27214875645511466,intron
37,0.8629185897898242,0.012044169446751357,0.1016543970162923,0.023382843747132245,intron
38,0.853477760235817,0.06181212026955204,0.07773042336553306,0.006979696129097874,intron
39,0.8348707499619883,0.022544043376202364,0.04685286737364754,0.09573233928816177,intron
